"No.","Time","Source","Destination","Protocol","Length","Info"
"11620","32.415219","192.168.29.161","35.244.233.98","QUIC","74","Protected Payload (KP0), DCID=f7344292e15c1234"
"11621","32.431793","2606:4700:310c::ac42:2fc1","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","728","Protected Payload (KP0)"
"11622","32.446035","192.168.29.161","20.42.73.26","TCP","54","65052  >  443 [ACK] Seq=17309 Ack=7933 Win=65024 Len=0"
"11623","32.462207","2405:201:7003:c0d5:2547:811:8a15:a967","2606:4700:310c::ac42:2fc1","QUIC","106","Protected Payload (KP0), DCID=016cc4553f1fd3d3b16d7455291fd25fcfc96e49"
"11624","32.517767","192.168.29.161","35.244.233.98","QUIC","207","Protected Payload (KP0), DCID=f7344292e15c1234"
"11625","32.538817","35.244.233.98","192.168.29.161","QUIC","1287","Protected Payload (KP0)"
"11626","32.538817","35.244.233.98","192.168.29.161","QUIC","1292","Protected Payload (KP0)"
"11627","32.538948","35.244.233.98","192.168.29.161","QUIC","1292","Protected Payload (KP0)"
"11628","32.539166","35.244.233.98","192.168.29.161","QUIC","1292","Protected Payload (KP0)"
"11629","32.539166","35.244.233.98","192.168.29.161","QUIC","1292","Protected Payload (KP0)"
"11630","32.539253","35.244.233.98","192.168.29.161","QUIC","1292","Protected Payload (KP0)"
"11631","32.539639","35.244.233.98","192.168.29.161","QUIC","1292","Protected Payload (KP0)"
"11632","32.539639","35.244.233.98","192.168.29.161","QUIC","1292","Protected Payload (KP0)"
"11633","32.539735","35.244.233.98","192.168.29.161","QUIC","1292","Protected Payload (KP0)"
"11634","32.540060","35.244.233.98","192.168.29.161","QUIC","1292","Protected Payload (KP0)"
"11635","32.540060","35.244.233.98","192.168.29.161","QUIC","1292","Protected Payload (KP0)"
"11636","32.540162","35.244.233.98","192.168.29.161","QUIC","1292","Protected Payload (KP0)"
"11637","32.540346","192.168.29.161","35.244.233.98","QUIC","78","Protected Payload (KP0), DCID=f7344292e15c1234"
"11638","32.540499","35.244.233.98","192.168.29.161","QUIC","1292","Protected Payload (KP0)"
"11639","32.540499","35.244.233.98","192.168.29.161","QUIC","1292","Protected Payload (KP0)"
"11640","32.540621","35.244.233.98","192.168.29.161","QUIC","1292","Protected Payload (KP0)"
"11641","32.541083","35.244.233.98","192.168.29.161","QUIC","1292","Protected Payload (KP0)"
"11642","32.541083","35.244.233.98","192.168.29.161","QUIC","1292","Protected Payload (KP0)"
"11643","32.541244","35.244.233.98","192.168.29.161","QUIC","1292","Protected Payload (KP0)"
"11644","32.542864","35.244.233.98","192.168.29.161","QUIC","1292","Protected Payload (KP0)"
"11645","32.542864","35.244.233.98","192.168.29.161","QUIC","1292","Protected Payload (KP0)"
"11646","32.542982","35.244.233.98","192.168.29.161","QUIC","1292","Protected Payload (KP0)"
"11647","32.543157","35.244.233.98","192.168.29.161","QUIC","1292","Protected Payload (KP0)"
"11648","32.543157","35.244.233.98","192.168.29.161","QUIC","1292","Protected Payload (KP0)"
"11649","32.543214","35.244.233.98","192.168.29.161","QUIC","1292","Protected Payload (KP0)"
"11650","32.543253","192.168.29.161","35.244.233.98","QUIC","74","Protected Payload (KP0), DCID=f7344292e15c1234"
"11651","32.544394","35.244.233.98","192.168.29.161","QUIC","1013","Protected Payload (KP0)"
"11652","32.548431","192.168.29.161","35.244.233.98","QUIC","75","Protected Payload (KP0), DCID=f7344292e15c1234"
"11653","32.550706","192.168.29.161","35.244.233.98","QUIC","203","Protected Payload (KP0), DCID=f7344292e15c1234"
"11654","32.570662","35.244.233.98","192.168.29.161","QUIC","71","Protected Payload (KP0)"
"11655","32.578947","192.168.29.161","35.244.233.98","QUIC","75","Protected Payload (KP0), DCID=f7344292e15c1234"
"11656","32.620502","192.168.29.161","35.244.233.98","QUIC","187","Protected Payload (KP0), DCID=f7344292e15c1234"
"11657","32.622493","192.168.29.161","35.244.233.98","QUIC","194","Protected Payload (KP0), DCID=f7344292e15c1234"
"11658","32.624775","192.168.29.161","35.244.233.98","QUIC","183","Protected Payload (KP0), DCID=f7344292e15c1234"
"11659","32.625968","192.168.29.161","35.244.233.98","QUIC","183","Protected Payload (KP0), DCID=f7344292e15c1234"
"11660","32.653455","35.244.233.98","192.168.29.161","QUIC","72","Protected Payload (KP0)"
"11661","32.653455","35.244.233.98","192.168.29.161","QUIC","72","Protected Payload (KP0)"
"11662","32.658367","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:80c::201b","QUIC","636","Protected Payload (KP0), DCID=f5b7c48e9e4da8ef"
"11663","32.660417","192.168.29.161","35.244.233.98","QUIC","75","Protected Payload (KP0), DCID=f7344292e15c1234"
"11664","32.662083","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:80c::201b","QUIC","217","Protected Payload (KP0), DCID=f5b7c48e9e4da8ef"
"11665","32.662574","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:80c::201b","QUIC","239","Protected Payload (KP0), DCID=f5b7c48e9e4da8ef"
"11666","32.663672","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:80c::201b","QUIC","233","Protected Payload (KP0), DCID=f5b7c48e9e4da8ef"
"11667","32.664561","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:80c::201b","QUIC","231","Protected Payload (KP0), DCID=f5b7c48e9e4da8ef"
"11668","32.679869","2404:6800:4002:80c::201b","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","91","Protected Payload (KP0)"
"11669","32.686332","35.244.233.98","192.168.29.161","QUIC","692","Protected Payload (KP0)"
"11670","32.686332","35.244.233.98","192.168.29.161","QUIC","231","Protected Payload (KP0)"
"11671","32.688104","2404:6800:4002:80c::201b","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","91","Protected Payload (KP0)"
"11672","32.688104","2404:6800:4002:80c::201b","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","92","Protected Payload (KP0)"
